Epoch 178/200: Loss = 1.5470, Val Accuracy = 0.4416
Epoch 179/200: Loss = 1.5841, Val Accuracy = 0.4416
Epoch 180/200: Loss = 1.8609, Val Accuracy = 0.4416
Epoch 181/200: Loss = 1.5700, Val Accuracy = 0.4416
Epoch 182/200: Loss = 1.5980, Val Accuracy = 0.4416
Epoch 183/200: Loss = 1.7043, Val Accuracy = 0.4416
Epoch 184/200: Loss = 1.6071, Val Accuracy = 0.4416
Epoch 185/200: Loss = 1.6889, Val Accuracy = 0.4416
Epoch 186/200: Loss = 1.3686, Val Accuracy = 0.4416
Epoch 187/200: Loss = 1.6089, Val Accuracy = 0.4416
Epoch 188/200: Loss = 1.5419, Val Accuracy = 0.4416
Epoch 189/200: Loss = 1.6021, Val Accuracy = 0.4416
Epoch 190/200: Loss = 1.4908, Val Accuracy = 0.4416
Epoch 191/200: Loss = 1.4841, Val Accuracy = 0.4416
Epoch 192/200: Loss = 1.4716, Val Accuracy = 0.4416
Epoch 193/200: Loss = 1.5321, Val Accuracy = 0.4416
Epoch 194/200: Loss = 1.4781, Val Accuracy = 0.4416
Epoch 195/200: Loss = 1.7807, Val Accuracy = 0.4416
Epoch 196/200: Loss = 1.5987, Val Accuracy = 0.4416
Epoch 197/200: Loss = 1.6422, Val Accuracy = 0.4416
Epoch 198/200: Loss = 1.4758, Val Accuracy = 0.4416
Epoch 199/200: Loss = 1.5993, Val Accuracy = 0.4416
Epoch 200/200: Loss = 1.5723, Val Accuracy = 0.4416
模型参数已保存至 ./asset/model.pkl
在测试集上评估...
测试集准确率: 0.4441
